qmof_id,name,analysis_bin,primary_metal,outputs.pbe.bandgap,zeo_pld,zeo_lcd,zeo_density,zeo_volume,zeo_natoms
qmof-4bb9ee9,DOTYUI01_FSR,bandgap_0_to_0.5eV,Co,0.126945,1.34316,3.92753,1.12915899,1005.514562,95
qmof-cb9b730,ISOQEM01_FSR,bandgap_0_to_0.5eV,Cu,0.236947,0.91417,2.30369,2.308505283,635.2824823,58
qmof-d7b29f8,HUGLUS_FSR,bandgap_0_to_0.5eV,Ga,0.148485,1.71813,3.79923,1.665516905,1898.133277,148
qmof-214ad37,KARSAY_FSR,bandgap_0_to_0.5eV,Ag,0.077331,1.01079,2.04678,1.872393194,757.1635857,77
qmof-c8c6644,HAFQOW_FSR,bandgap_0_to_0.5eV,Al,0.273106,1.09181,1.98342,1.627484576,1478.78246,128
qmof-0d0a55e,PODMUR_FSR,bandgap_0_to_0.5eV,Cu,0.043865,0.85511,1.54124,2.235255239,679.9038149,62
qmof-f40f3e7,DOTZIX_FSR,bandgap_0_to_0.5eV,Co,0.214375,1.48086,3.89616,1.105378388,1024.178142,97
qmof-7e46631,KASRUS_FSR,bandgap_0_to_0.5eV,Cu,0.016766,0.89153,2.09186,2.056023357,433.8523189,38
qmof-aaa4160,XUGQUM_FSR,bandgap_0_to_0.5eV,Ag,0.076406,0.98715,1.63027,2.239917855,682.283175,62
qmof-54114ac,BIHZID_FSR,bandgap_0_to_0.5eV,Hg,0.021079,1.06917,1.66468,3.036162778,415.2371421,34
qmof-7cefc8c,OKECUE_FSR,bandgap_0_to_0.5eV,Cd,0.052147,1.33186,3.24436,1.653550726,1140.413002,100
qmof-6d2fc7d,MIDVEA_FSR,bandgap_0_to_0.5eV,Cu,0.053015,0.8358,1.86013,2.226001305,426.552968,41
qmof-4241a3d,WOLKUF_FSR,bandgap_0_to_0.5eV,Zn,0.095853,1.00186,2.22464,2.049005753,930.6528522,88
qmof-dbb4b69,OXAZIX_FSR,bandgap_0_to_0.5eV,Pr,0.074421,1.19813,2.5282,2.387130678,951.7247298,88
qmof-c031960,DICVUI_FSR,bandgap_0_to_0.5eV,Cu,0.101316,1.69068,2.89675,2.781349678,912.9317974,59
qmof-de9db8f,DODJUC_FSR,bandgap_0_to_0.5eV,Hg,0.003175,1.11343,2.55386,2.346633716,1119.190534,100
qmof-aca3388,ILEDIO_FSR,bandgap_0_to_0.5eV,Co,0.267986,1.64627,4.2196,1.087607203,1043.990723,99
qmof-93cbc2c,PEWFEE_FSR,bandgap_0_to_0.5eV,Cu,0.022526,0.97408,2.09814,3.392561733,285.696502,24
qmof-2dea218,SACPAQ_FSR,bandgap_0_to_0.5eV,Hg,0.17181,0.95927,3.01699,3.629179268,1875.732273,120
qmof-d0bb092,LALQEW_FSR,bandgap_0_to_0.5eV,Cd,0.157635,0.97037,3.19369,1.987953644,976.5728664,82
qmof-2d06267,MOYWAZ_FSR,bandgap_0_to_0.5eV,Sr,0.050934,1.26613,2.584,1.653797067,1144.703803,114
qmof-8cfc29d,REJKUN_FSR,bandgap_0_to_0.5eV,Cu,0.052416,1.17171,2.06316,2.251534621,442.8726402,40
qmof-9b1be38,TARQAF_FSR,bandgap_0_to_0.5eV,Cs,0.010889,0.86138,2.14736,2.279458687,1017.171677,76
qmof-9f865ef,HAFQUC_FSR,bandgap_0_to_0.5eV,Al,0.287768,1.15918,2.06772,1.689063053,1480.029047,140
qmof-e79aee6,HISGEX_FSR,bandgap_0_to_0.5eV,Rb,0.021801,0.693,1.7235,1.83920504,703.7634917,60
qmof-1dc08c3,PIDZEI_FSR,bandgap_0_to_0.5eV,K,0.050973,0.95716,1.77393,1.471237661,1120.979377,108
qmof-1cfa94a,BADXEJ01_FSR,bandgap_0.5_to_1.0eV,Cu,0.380214,0.75169,1.43453,2.23720437,340.7684934,30
