qmof_id,name,analysis_bin,primary_metal,outputs.pbe.bandgap,zeo_pld,zeo_lcd,zeo_density,zeo_volume,zeo_natoms
qmof-4bb9ee9,DOTYUI01_FSR,bandgap_0_to_0.5eV,Co,0.126945,1.34316,3.92753,1.12915899,1005.514562,95
qmof-93cbc2c,PEWFEE_FSR,bandgap_0_to_0.5eV,Cu,0.022526,0.97408,2.09814,3.392561733,285.696502,24
qmof-80d14e6,SEHDAM_FSR,bandgap_0_to_0.5eV,Cd,0.085916,1.18037,3.22357,1.644955375,1324.274665,122
qmof-33eaa8a,LIKZAI_FSR,bandgap_0_to_0.5eV,Cu,0.004553,0.90775,1.64763,1.711881896,705.7950195,70
qmof-9f865ef,HAFQUC_FSR,bandgap_0_to_0.5eV,Al,0.287768,1.15918,2.06772,1.689063053,1480.029047,140
qmof-f94dd0a,YORKAS_FSR,bandgap_0_to_0.5eV,Cu,0.110562,1.15084,3.64268,1.651483863,898.7088934,78
qmof-b311e90,UTIHAH_FSR,bandgap_0_to_0.5eV,Cu,0.065578,1.02029,1.41777,1.818051293,625.9648664,54
qmof-afd3d78,QEKLEZ_FSR,bandgap_0_to_0.5eV,Cd,0.077833,0.80098,2.16291,1.887610041,865.1554643,84
qmof-4ce077a,ILICOW_FSR,bandgap_0_to_0.5eV,Rh,0.196562,1.25883,2.77965,2.347929012,675.3252766,62
qmof-c031960,DICVUI_FSR,bandgap_0_to_0.5eV,Cu,0.101316,1.69068,2.89675,2.781349678,912.9317974,59
qmof-7e46631,KASRUS_FSR,bandgap_0_to_0.5eV,Cu,0.016766,0.89153,2.09186,2.056023357,433.8523189,38
qmof-1b4e871,PAZXOD_FSR,bandgap_0_to_0.5eV,Cr,0.234922,0.904,2.64822,2.290282954,634.6884357,56
qmof-214ad37,KARSAY_FSR,bandgap_0_to_0.5eV,Ag,0.077331,1.01079,2.04678,1.872393194,757.1635857,77
qmof-606ca52,OVIVOF_FSR,bandgap_0_to_0.5eV,Cd,0.029604,1.77133,3.03364,1.892250876,1404.253928,112
qmof-7e4dbb6,NESYOZ02_FSR,bandgap_0_to_0.5eV,Cu,0.086929,1.58689,2.56268,1.713941423,663.9878236,54
qmof-aaa4160,XUGQUM_FSR,bandgap_0_to_0.5eV,Ag,0.076406,0.98715,1.63027,2.239917855,682.283175,62
qmof-cb9b730,ISOQEM01_FSR,bandgap_0_to_0.5eV,Cu,0.236947,0.91417,2.30369,2.308505283,635.2824823,58
qmof-7cefc8c,OKECUE_FSR,bandgap_0_to_0.5eV,Cd,0.052147,1.33186,3.24436,1.653550726,1140.413002,100
qmof-e79aee6,HISGEX_FSR,bandgap_0_to_0.5eV,Rb,0.021801,0.693,1.7235,1.83920504,703.7634917,60
qmof-62dbb8e,DORWAK_FSR,bandgap_0_to_0.5eV,Cu,0.204866,1.81242,2.27715,1.387196323,1000.727957,106
qmof-d7b29f8,HUGLUS_FSR,bandgap_0_to_0.5eV,Ga,0.148485,1.71813,3.79923,1.665516905,1898.133277,148
qmof-aa82d3e,GIWTUB_FSR,bandgap_0_to_0.5eV,Cu,0.079132,0.83266,1.91365,1.636135907,726.2824329,78
qmof-8cfc29d,REJKUN_FSR,bandgap_0_to_0.5eV,Cu,0.052416,1.17171,2.06316,2.251534621,442.8726402,40
qmof-d2f6719,OFEGUD_FSR,bandgap_0_to_0.5eV,Cd,0.100632,1.0544,2.47646,1.912083932,1170.714943,111
qmof-54114ac,BIHZID_FSR,bandgap_0_to_0.5eV,Hg,0.021079,1.06917,1.66468,3.036162778,415.2371421,34
qmof-46e13c3,JIPRIM_FSR,bandgap_0_to_0.5eV,K,0.04718,1.9735,3.20754,1.384506544,839.0014783,67
qmof-462389a,KCLNLA01_FSR,bandgap_0.5_to_1.0eV,K,0.620398,1.01141,1.77495,1.779961966,1280.144159,92
qmof-3d26180,SIPYUM_FSR,bandgap_0.5_to_1.0eV,Cu,0.436287,0.85259,2.54734,1.916886685,607.645544,60
qmof-c8cd84e,NOQBUS_FSR,bandgap_0.5_to_1.0eV,Co,0.390438,0.88026,2.36572,1.595534609,796.7752362,83
qmof-6071ce7,IBUBIS01_FSR,bandgap_0.5_to_1.0eV,Organic_Only,0.244412,0.87745,1.98675,3.45884639,391.8725253,34
qmof-9308b8e,GOVJAC_FSR,bandgap_0.5_to_1.0eV,Cu,0.492652,0.94922,1.71691,2.041782106,517.4914881,52
qmof-7311839,BISVUW_FSR,bandgap_0.5_to_1.0eV,Ag,0.4641,0.75996,1.82955,2.634073841,592.3901994,42
qmof-e7b175c,FORWUF01_FSR,bandgap_0.5_to_1.0eV,Fe,0.03248,1.2445,2.2518,1.930766784,658.6768632,72
qmof-1b8f727,DEZZUE_FSR,bandgap_0.5_to_1.0eV,Cu,0.338447,1.49598,3.20738,1.945051854,371.6200334,32
qmof-5961f99,REGMEX_FSR,bandgap_0.5_to_1.0eV,Cu,0.192383,0.74841,1.38519,2.256664456,357.8072649,34
qmof-3767e26,ETETON_FSR,bandgap_0.5_to_1.0eV,K,0.61431,0.89158,2.0024,2.561741091,1350.491617,92
qmof-c9f9a46,PASQUX_FSR,bandgap_0.5_to_1.0eV,Cu,0.575672,1.07488,1.90806,1.910195642,594.1923401,62
qmof-0c21f93,WOFYIB_FSR,bandgap_0.5_to_1.0eV,Co,0.082152,0.99306,1.96146,1.821868146,897.500372,84
qmof-c937650,OSUWIJ_FSR,bandgap_0.5_to_1.0eV,Ag,0.268592,1.62488,2.30591,2.064849643,1035.936071,92
qmof-12544e7,PITVOD_FSR,bandgap_0.5_to_1.0eV,Mn,0.188597,1.32498,5.28504,0.975222481,980.159978,83
qmof-2bd5eb8,COQTAE_FSR,bandgap_0.5_to_1.0eV,K,0.486553,1.1527,2.0693,1.456041115,1128.48864,108
qmof-d928e40,NEKTEE_FSR,bandgap_0.5_to_1.0eV,Mn,0.21044,0.94038,1.97183,1.5311022,1243.880524,124
qmof-9b0ccbd,BETGUF_FSR,bandgap_0.5_to_1.0eV,Cu,0.492882,1.36328,2.70936,2.474031757,924.6978361,82
qmof-287a882,UHOCEB02_FSR,bandgap_0.5_to_1.0eV,Cu,0.454088,0.79158,1.98621,2.044614481,814.4295998,80
qmof-4a4b090,CEMPAN_FSR,bandgap_0.5_to_1.0eV,Cu,0.355926,1.42313,2.35719,2.352863549,1198.398056,106
qmof-a3a6bff,LAFRUG_FSR,bandgap_0.5_to_1.0eV,Cu,0.26841,0.90748,1.70726,2.105982889,913.6739912,92
qmof-ff9ebb7,WEFDIU_FSR,bandgap_0.5_to_1.0eV,Cu,0.38958,0.98585,2.51684,1.736570109,434.4503955,46
qmof-e59232d,LIYLOU_FSR,bandgap_1.0_to_1.5eV,Mn,0.043468,0.81729,1.38397,1.965386011,476.5663856,46
qmof-d42c622,SOQVOK_FSR,bandgap_1.0_to_1.5eV,Mn,0.118532,1.77975,2.23029,1.774924692,467.1221471,49
qmof-37e26c7,PATHOI_FSR,bandgap_1.0_to_1.5eV,Cu,0.934601,1.06163,2.50076,1.951828295,844.4617321,80
qmof-9545770,AFOLIR_FSR,bandgap_1.0_to_1.5eV,Mn,0.107635,1.02591,1.83221,1.661049816,789.4491861,85
qmof-c776af3,CAXCAG_FSR,bandgap_1.0_to_1.5eV,Cu,0.46034,1.14013,1.82554,2.014232719,684.7537031,68
qmof-16d3687,CUFCEN_FSR,bandgap_1.0_to_1.5eV,Mn,0.283554,2.20072,2.88726,1.864763896,481.0352905,50
qmof-7668bea,FABJID_FSR,bandgap_1.0_to_1.5eV,Cu,0.367332,1.65184,2.26092,1.920422318,593.5154894,56
qmof-3feeaa5,MIJKIA_FSR,bandgap_1.0_to_1.5eV,Mn,0.644854,0.97475,2.1891,1.754769041,706.3836098,70
qmof-49bc51b,APASAN_FSR,bandgap_1.0_to_1.5eV,Cu,0.078311,0.93973,1.7029,1.827640624,650.2825183,60
qmof-6f98772,CUTCIF_FSR,bandgap_1.0_to_1.5eV,Mn,0.006343,1.01138,2.67316,1.564563132,610.6715266,55
qmof-0f656a9,IRIGIB_FSR,bandgap_1.0_to_1.5eV,Cu,0.606546,0.8156,1.74662,1.999007414,913.1132733,92
qmof-31797e0,DEYWAI01_FSR,bandgap_1.0_to_1.5eV,Cu,0.441291,1.13853,1.771,2.703373968,427.5218956,32
qmof-d972c84,DINQOG_FSR,bandgap_1.0_to_1.5eV,Cu,0.429766,1.06228,2.03321,2.761222975,355.4720657,26
qmof-9062b93,CAVGIS_FSR,bandgap_1.0_to_1.5eV,Ni,0.102067,3.29068,4.25742,1.308341991,1196.891243,94
qmof-d46ee4f,DAZXOU_FSR,bandgap_1.0_to_1.5eV,Cu,0.189689,0.92985,1.69866,2.182482721,675.9635192,64
qmof-0122bb1,BAMSEN_FSR,bandgap_1.0_to_1.5eV,Ga,0.979539,1.63694,1.96376,1.613873919,618.6294202,58
qmof-cafe9dc,GASJES_FSR,bandgap_1.0_to_1.5eV,Cs,0.67527,1.12473,1.76977,1.92642182,775.8350812,62
qmof-c4f3917,DEJGUV_FSR,bandgap_1.0_to_1.5eV,Cu,0.29907,0.86582,1.74905,1.969501602,936.8567124,88
