qmof_id,name,analysis_bin,primary_metal,outputs.pbe.bandgap,zeo_pld,zeo_lcd,zeo_density,zeo_volume,zeo_natoms
qmof-2ea7167,EKESOC_FSR,bandgap_0_to_0.5eV,Cu,0.202814,0.88414,1.491,1.837723272,512.8188602,64
qmof-7cefc8c,OKECUE_FSR,bandgap_0_to_0.5eV,Cd,0.052147,1.33186,3.24436,1.653550726,1140.413002,100
qmof-9f865ef,HAFQUC_FSR,bandgap_0_to_0.5eV,Al,0.287768,1.15918,2.06772,1.689063053,1480.029047,140
qmof-dbb4b69,OXAZIX_FSR,bandgap_0_to_0.5eV,Pr,0.074421,1.19813,2.5282,2.387130678,951.7247298,88
qmof-0d0a55e,PODMUR_FSR,bandgap_0_to_0.5eV,Cu,0.043865,0.85511,1.54124,2.235255239,679.9038149,62
qmof-6d2fc7d,MIDVEA_FSR,bandgap_0_to_0.5eV,Cu,0.053015,0.8358,1.86013,2.226001305,426.552968,41
qmof-33eaa8a,LIKZAI_FSR,bandgap_0_to_0.5eV,Cu,0.004553,0.90775,1.64763,1.711881896,705.7950195,70
qmof-afd3d78,QEKLEZ_FSR,bandgap_0_to_0.5eV,Cd,0.077833,0.80098,2.16291,1.887610041,865.1554643,84
qmof-606ca52,OVIVOF_FSR,bandgap_0_to_0.5eV,Cd,0.029604,1.77133,3.03364,1.892250876,1404.253928,112
qmof-2dea218,SACPAQ_FSR,bandgap_0_to_0.5eV,Hg,0.17181,0.95927,3.01699,3.629179268,1875.732273,120
qmof-aca3388,ILEDIO_FSR,bandgap_0_to_0.5eV,Co,0.267986,1.64627,4.2196,1.087607203,1043.990723,99
qmof-4ce077a,ILICOW_FSR,bandgap_0_to_0.5eV,Rh,0.196562,1.25883,2.77965,2.347929012,675.3252766,62
qmof-cb9b730,ISOQEM01_FSR,bandgap_0_to_0.5eV,Cu,0.236947,0.91417,2.30369,2.308505283,635.2824823,58
