qmof_id,name,analysis_bin,primary_metal,outputs.pbe.bandgap,zeo_pld,zeo_lcd,zeo_density,zeo_volume,zeo_natoms
qmof-1b4e871,PAZXOD_FSR,bandgap_0_to_0.5eV,Cr,0.234922,0.904,2.64822,2.290282954,634.6884357,56
qmof-9f865ef,HAFQUC_FSR,bandgap_0_to_0.5eV,Al,0.287768,1.15918,2.06772,1.689063053,1480.029047,140
qmof-33eaa8a,LIKZAI_FSR,bandgap_0_to_0.5eV,Cu,0.004553,0.90775,1.64763,1.711881896,705.7950195,70
qmof-3a0f684,PILPAD_FSR,bandgap_0_to_0.5eV,Cd,0.011803,1.36304,3.15388,2.092266825,1148.249884,101
qmof-d0bb092,LALQEW_FSR,bandgap_0_to_0.5eV,Cd,0.157635,0.97037,3.19369,1.987953644,976.5728664,82
qmof-7e46631,KASRUS_FSR,bandgap_0_to_0.5eV,Cu,0.016766,0.89153,2.09186,2.056023357,433.8523189,38
qmof-2ea7167,EKESOC_FSR,bandgap_0_to_0.5eV,Cu,0.202814,0.88414,1.491,1.837723272,512.8188602,64
qmof-62dbb8e,DORWAK_FSR,bandgap_0_to_0.5eV,Cu,0.204866,1.81242,2.27715,1.387196323,1000.727957,106
qmof-54114ac,BIHZID_FSR,bandgap_0_to_0.5eV,Hg,0.021079,1.06917,1.66468,3.036162778,415.2371421,34
qmof-7e4dbb6,NESYOZ02_FSR,bandgap_0_to_0.5eV,Cu,0.086929,1.58689,2.56268,1.713941423,663.9878236,54
qmof-4ce077a,ILICOW_FSR,bandgap_0_to_0.5eV,Rh,0.196562,1.25883,2.77965,2.347929012,675.3252766,62
qmof-46e13c3,JIPRIM_FSR,bandgap_0_to_0.5eV,K,0.04718,1.9735,3.20754,1.384506544,839.0014783,67
qmof-80d14e6,SEHDAM_FSR,bandgap_0_to_0.5eV,Cd,0.085916,1.18037,3.22357,1.644955375,1324.274665,122
qmof-c031960,DICVUI_FSR,bandgap_0_to_0.5eV,Cu,0.101316,1.69068,2.89675,2.781349678,912.9317974,59
qmof-d7b29f8,HUGLUS_FSR,bandgap_0_to_0.5eV,Ga,0.148485,1.71813,3.79923,1.665516905,1898.133277,148
qmof-c8c6644,HAFQOW_FSR,bandgap_0_to_0.5eV,Al,0.273106,1.09181,1.98342,1.627484576,1478.78246,128
qmof-6d2fc7d,MIDVEA_FSR,bandgap_0_to_0.5eV,Cu,0.053015,0.8358,1.86013,2.226001305,426.552968,41
qmof-606ca52,OVIVOF_FSR,bandgap_0_to_0.5eV,Cd,0.029604,1.77133,3.03364,1.892250876,1404.253928,112
qmof-4241a3d,WOLKUF_FSR,bandgap_0_to_0.5eV,Zn,0.095853,1.00186,2.22464,2.049005753,930.6528522,88
qmof-aaa4160,XUGQUM_FSR,bandgap_0_to_0.5eV,Ag,0.076406,0.98715,1.63027,2.239917855,682.283175,62
qmof-de9db8f,DODJUC_FSR,bandgap_0_to_0.5eV,Hg,0.003175,1.11343,2.55386,2.346633716,1119.190534,100
qmof-dbb4b69,OXAZIX_FSR,bandgap_0_to_0.5eV,Pr,0.074421,1.19813,2.5282,2.387130678,951.7247298,88
qmof-afd3d78,QEKLEZ_FSR,bandgap_0_to_0.5eV,Cd,0.077833,0.80098,2.16291,1.887610041,865.1554643,84
qmof-aa82d3e,GIWTUB_FSR,bandgap_0_to_0.5eV,Cu,0.079132,0.83266,1.91365,1.636135907,726.2824329,78
qmof-8cfc29d,REJKUN_FSR,bandgap_0_to_0.5eV,Cu,0.052416,1.17171,2.06316,2.251534621,442.8726402,40
qmof-e79aee6,HISGEX_FSR,bandgap_0_to_0.5eV,Rb,0.021801,0.693,1.7235,1.83920504,703.7634917,60
qmof-2b29f90,ELIMOC_FSR,bandgap_0.5_to_1.0eV,Mn,0.082435,0.93687,2.08527,1.675318733,435.4449572,49
qmof-043bf63,JETLEC_FSR,bandgap_0.5_to_1.0eV,Cu,0.135055,0.95718,1.85503,2.219289117,1139.316577,100
qmof-0fcda30,HACWIR02_FSR,bandgap_0.5_to_1.0eV,Mn,0.321848,0.8958,1.59648,2.026426092,637.7490637,62
qmof-c9f9a46,PASQUX_FSR,bandgap_0.5_to_1.0eV,Cu,0.575672,1.07488,1.90806,1.910195642,594.1923401,62
qmof-1f7d79e,CENLEP_FSR,bandgap_0.5_to_1.0eV,Cu,0.118091,1.10078,2.10368,3.511351801,348.9705981,24
qmof-e7b175c,FORWUF01_FSR,bandgap_0.5_to_1.0eV,Fe,0.03248,1.2445,2.2518,1.930766784,658.6768632,72
qmof-12544e7,PITVOD_FSR,bandgap_0.5_to_1.0eV,Mn,0.188597,1.32498,5.28504,0.975222481,980.159978,83
qmof-1cfa94a,BADXEJ01_FSR,bandgap_0.5_to_1.0eV,Cu,0.380214,0.75169,1.43453,2.23720437,340.7684934,30
qmof-5961f99,REGMEX_FSR,bandgap_0.5_to_1.0eV,Cu,0.192383,0.74841,1.38519,2.256664456,357.8072649,34
qmof-9b0ccbd,BETGUF_FSR,bandgap_0.5_to_1.0eV,Cu,0.492882,1.36328,2.70936,2.474031757,924.6978361,82
qmof-ff9ebb7,WEFDIU_FSR,bandgap_0.5_to_1.0eV,Cu,0.38958,0.98585,2.51684,1.736570109,434.4503955,46
qmof-926eb2f,PODNAY_FSR,bandgap_0.5_to_1.0eV,Cu,0.361918,1.40343,2.29808,1.633705865,607.3382606,58
qmof-4a4b090,CEMPAN_FSR,bandgap_0.5_to_1.0eV,Cu,0.355926,1.42313,2.35719,2.352863549,1198.398056,106
qmof-3767e26,ETETON_FSR,bandgap_0.5_to_1.0eV,K,0.61431,0.89158,2.0024,2.561741091,1350.491617,92
qmof-c054f0b,YAKLIF_FSR,bandgap_0.5_to_1.0eV,Cu,0.371916,0.86452,1.34625,2.322523062,389.9839909,30
qmof-6071ce7,IBUBIS01_FSR,bandgap_0.5_to_1.0eV,Organic_Only,0.244412,0.87745,1.98675,3.45884639,391.8725253,34
qmof-2bd5eb8,COQTAE_FSR,bandgap_0.5_to_1.0eV,K,0.486553,1.1527,2.0693,1.456041115,1128.48864,108
qmof-d928e40,NEKTEE_FSR,bandgap_0.5_to_1.0eV,Mn,0.21044,0.94038,1.97183,1.5311022,1243.880524,124
qmof-3d26180,SIPYUM_FSR,bandgap_0.5_to_1.0eV,Cu,0.436287,0.85259,2.54734,1.916886685,607.645544,60
qmof-545e186,MOJWUF_FSR,bandgap_0.5_to_1.0eV,Zn,0.00724,1.14142,1.69275,1.736025326,1166.712163,122
qmof-a3a6bff,LAFRUG_FSR,bandgap_0.5_to_1.0eV,Cu,0.26841,0.90748,1.70726,2.105982889,913.6739912,92
qmof-a79b912,EFIWAT_FSR,bandgap_1.0_to_1.5eV,W,0.583692,1.71621,2.79059,2.726411103,1412.422199,127
qmof-7192ec8,PIRNAH01_FSR,bandgap_1.0_to_1.5eV,Cs,0.736345,1.04866,1.73113,2.245156928,1171.363155,84
